Date,Adj Close (^W5000)
2/19/2020,34533.94141
2/20/2020,34434.66016
2/21/2020,34066.28125
2/24/2020,32937.51953
2/25/2020,31921.68945
2/26/2020,31741.78906
2/27/2020,30385.63086
2/28/2020,30125.07031
3/2/2020,31416.39063
3/3/2020,30571.00977
3/4/2020,31783.7793
3/5/2020,30719.90039
3/6/2020,30157.91016
3/9/2020,27774.99023
3/10/2020,29088.0293
3/11/2020,27598.91016
3/12/2020,24909.10938
3/13/2020,27142.66992
3/16/2020,23818.44922
3/17/2020,25182.90039
3/18/2020,23731.69922
3/19/2020,24064.35938
3/20/2020,23082.44922
3/23/2020,22465.14063
3/24/2020,24542.51953
3/25/2020,24878.58008
3/26/2020,26385.40039
3/27/2020,25500.57031
3/30/2020,26275.33984
3/31/2020,25899.92969
4/1/2020,24711.15039
4/2/2020,25199.64063
