key_0,Adj Close (^GSPC),DGS10 [%],T10YIE[%],Confirmed COVID-19 cases,Recovered COVID-19 cases,Deaths due to COVID-19 ,Initial unemployment claims (Seasonally adjusted),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. No 2 Diesel Retail Prices  (Dollars per Gallon)
2019-06-24,2945.350098,2.02,1.71,0,0,0,222000,2.741,3.043
2019-06-25,2917.379883,2,1.67,0,0,0,222000,2.798,3.042
2019-06-26,2913.780029,2.05,1.7,0,0,0,222000,2.798,3.042
2019-06-27,2924.919922,2.01,1.68,0,0,0,222000,2.798,3.042
2019-06-28,2941.76001,2,1.69,0,0,0,222000,2.798,3.042
2019-06-29,2941.76001,2,1.69,0,0,0,222000,2.798,3.042
2019-06-30,2941.76001,2,1.69,0,0,0,211000,2.798,3.042
2019-07-01,2964.330078,2.03,1.69,0,0,0,211000,2.798,3.042
2019-07-02,2973.01001,1.98,1.65,0,0,0,211000,2.827,3.055
2019-07-03,2995.820068,1.96,1.65,0,0,0,211000,2.827,3.055
2019-07-04,2995.820068,1.96,1.65,0,0,0,211000,2.827,3.055
2019-07-05,2990.409912,2.04,1.69,0,0,0,211000,2.827,3.055
2019-07-06,2990.409912,2.04,1.69,0,0,0,211000,2.827,3.055
2019-07-07,2990.409912,2.04,1.69,0,0,0,217000,2.827,3.055
2019-07-08,2975.949951,2.05,1.7,0,0,0,217000,2.827,3.055
2019-07-09,2979.629883,2.07,1.71,0,0,0,217000,2.86,3.051
2019-07-10,2993.070068,2.07,1.74,0,0,0,217000,2.86,3.051
2019-07-11,2999.909912,2.13,1.77,0,0,0,217000,2.86,3.051
2019-07-12,3013.77002,2.12,1.77,0,0,0,217000,2.86,3.051
2019-07-13,3013.77002,2.12,1.77,0,0,0,217000,2.86,3.051
2019-07-14,3013.77002,2.12,1.77,0,0,0,211000,2.86,3.051
2019-07-15,3014.300049,2.09,1.77,0,0,0,211000,2.86,3.051
2019-07-16,3004.040039,2.13,1.8,0,0,0,211000,2.833,3.044
2019-07-17,2984.419922,2.06,1.75,0,0,0,211000,2.833,3.044
2019-07-18,2995.110107,2.04,1.79,0,0,0,211000,2.833,3.044
2019-07-19,2976.610107,2.05,1.8,0,0,0,211000,2.833,3.044
2019-07-20,2976.610107,2.05,1.8,0,0,0,211000,2.833,3.044
